NOC,Year,Score_2028,Score_2024,Unique_Names,Innovation_Coeff,Team_Avg
OMA,2028,-0.132544224,1.645,4,0.5811272384120928,0.41125
PAK,2028,-4.218825787,9.985320371631092,7,0.5710064881750821,1.4264743388044416
PAN,2028,7.577895504,8.71093349955538,8,0.5816521515459163,1.0888666874444226
PAR,2028,15.23423459,11.24513812154696,29,0.5858238345098764,0.3877633835016193
PER,2028,18.71972151,14.786256026783148,26,0.585778526282416,0.568702154876275
PHI,2028,35.33190207,81.64828296716138,22,0.5448529259180348,3.7112855894164265
PLE,2028,3.179797975,3.09,8,0.5826480808839547,0.38625
PLW,2028,-0.689917298,1.15,3,0.5810764391423656,0.3833333333333333
PNG,2028,2.445550992,2.75,7,0.5823269894651077,0.39285714285714285
POL,2028,373.9444845,284.28425465945224,226,0.6555980292528684,1.25789493212147
POR,2028,61.59179393,75.18439984576635,75,0.5715045524158515,1.002458664610218
PRK,2028,54.84101613,31.263599378099546,14,0.6017773910971241,2.233114241292825
PUR,2028,32.59475407,32.19172623503776,51,0.5829031885309307,0.6312103183340738
QAT,2028,17.65917848,11.797263558873194,13,0.5873491370743653,0.9074818122210149
ROU,2028,570.1938001,215.0008851578,96,0.8718590795233563,2.2395925537270833
RSA,2028,150.5991266,143.12742021563895,141,0.5886602193331171,1.0150880866357372
RWA,2028,2.338205038,3.065,7,0.5819830130557456,0.43785714285714283
SAM,2028,5.795195185,9.22,24,0.5797856397108162,0.3841666666666667
SEN,2028,6.801909816,5.080288334467984,11,0.5839771069706814,0.461844394042544
SEY,2028,0.924361307,1.185,3,0.582362670438736,0.395
SGP,2028,27.32308297,14.507859526958072,23,0.5930122056462378,0.63077650117209
SKN,2028,2.72404261,1.145,3,0.5838609847068927,0.38166666666666665
SLE,2028,0.296178861,1.5750000000000002,4,0.5815334195875475,0.39375000000000004
SLO,2028,72.18402357,74.99371031488482,94,0.5802866178854336,0.7978054288817534
SMR,2028,7.056600397,5.556124839482805,5,0.583796996376115,1.111224967896561
SOL,2028,1.061421769,0.81,2,0.5827797141381651,0.405
SOM,2028,0.070152917,0.42,1,0.5822900153525761,0.42
SRB,2028,251.3864215,208.0952573540116,114,0.6178331008286039,1.8253969943334352
SRI,2028,5.26464646,2.295576668935966,6,0.5849930816386372,0.38259611148932765
SSD,2028,6.68029442,5.405,14,0.5836135993329904,0.38607142857142857
STP,2028,1.576301897,1.15,3,0.5829221439115025,0.3833333333333333
SUD,2028,1.851129833,1.5650961114893276,4,0.5828079035763091,0.3912740278723319
SUI,2028,25.46743877,150.43811520880826,137,0.4807935407029525,1.0980884321810822
SUR,2028,2.647052427,2.405486117603066,5,0.5827716874349973,0.48109722352061324
SVK,2028,30.26301578,24.728537945160724,28,0.5870824584613314,0.8831620694700258
SWE,2028,174.1073949,206.5971370165384,125,0.5561139253812967,1.6527770961323072
SWZ,2028,0.493203684,1.145,3,0.582044095125347,0.38166666666666665
SYR,2028,5.60624733,4.78543094393829,6,0.5832434531986013,0.797571823989715
TAN,2028,1.197127469,2.755768891914621,7,0.5813055221124657,0.3936812702735173
TGA,2028,1.802305619,1.570420904945633,4,0.5827638023342374,0.39260522623640826
THA,2028,49.50649226,47.084093937113,52,0.5845478492717984,0.9054633449444809
TJK,2028,12.43599952,10.90190096690577,14,0.5838243803659012,0.7787072119218407
TKM,2028,4.972781806,2.2955415162454877,6,0.584755403348942,0.3825902527075813
TLS,2028,1.646949427,1.57,4,0.5826376164829946,0.3925
TOG,2028,2.080485264,1.915,5,0.5827097238135436,0.383
TPE,2028,91.02577833,75.39659170019102,60,0.595304016290791,1.2566098616698504
TTO,2028,49.53258758,13.204638056428529,17,0.6121619643094736,0.7767434150840311
TUN,2028,43.88207614,25.6033365808266,26,0.5974619242674766,0.9847437146471769
TUR,2028,96.16713705,127.11548484994304,101,0.5573693021107575,1.2585691569301292
TUV,2028,0.524849516,0.805,2,0.5823467792108343,0.4025
UAE,2028,5.40504578,6.221729937530034,13,0.5819098034927653,0.47859461057923336
UGA,2028,26.44841829,37.9100530615514,25,0.5732401054516957,1.516402122462056
UKR,2028,149.3731316,231.522651830024,141,0.5156689015722298,1.6420046229079714
URU,2028,-12.49706729,10.520459971525572,27,0.5638284978157546,0.38964666561205824
USA,2028,3716.006895,3327.1597342189025,619,0.899268520844657,5.3750561134392605
UZB,2028,96.71449301,126.0129999113322,88,0.5587130023236945,1.4319659080833205
VAN,2028,1.342449376,2.34,6,0.5817624981921672,0.38999999999999996
VEN,2028,41.76439764,14.433823394082362,31,0.604834121311621,0.46560720626072133
VIE,2028,14.04797097,7.873679796729306,15,0.5876035495070281,0.5249119864486204
VIN,2028,0.623933541,1.57,4,0.5818044290738248,0.3925
YEM,2028,1.562842933,1.525,4,0.5826057665001512,0.38125
ZAM,2028,6.638505855,15.491430075583573,31,0.5753647496678608,0.49972355082527653
ZIM,2028,39.87834821,2.711757502103393,7,0.6128449891629029,0.3873939288719133
